selected_features
ENSG00000001167
ENSG00000001629
ENSG00000001631
ENSG00000003402
ENSG00000004660
ENSG00000004897
ENSG00000005448
ENSG00000006114
ENSG00000006704
ENSG00000007168
ENSG00000007923
ENSG00000008294
ENSG00000008869
ENSG00000008952
ENSG00000009954
ENSG00000010626
ENSG00000011114
ENSG00000011566
ENSG00000012211
ENSG00000014123
ENSG00000014824
ENSG00000015171
ENSG00000017621
ENSG00000021574
ENSG00000021776
ENSG00000023041
ENSG00000023228
ENSG00000024048
ENSG00000027847
ENSG00000028203
ENSG00000029363
ENSG00000029364
ENSG00000033800
ENSG00000034510
ENSG00000036054
ENSG00000036549
ENSG00000037749
ENSG00000038210
ENSG00000038219
ENSG00000039123
ENSG00000039650
ENSG00000040633
ENSG00000041988
ENSG00000042493
ENSG00000042753
ENSG00000043093
ENSG00000046651
ENSG00000047188
ENSG00000047410
ENSG00000047932
ENSG00000048544
ENSG00000048649
ENSG00000048828
ENSG00000048991
ENSG00000052126
ENSG00000052723
ENSG00000052841
ENSG00000053770
ENSG00000054118
ENSG00000055208
ENSG00000055609
ENSG00000055917
ENSG00000056097
ENSG00000060237
ENSG00000060339
ENSG00000062650
ENSG00000062725
ENSG00000064313
ENSG00000064419
ENSG00000064607
ENSG00000065243
ENSG00000065613
ENSG00000065618
ENSG00000066322
ENSG00000066422
ENSG00000066427
ENSG00000066777
ENSG00000067208
ENSG00000067221
ENSG00000067248
ENSG00000067704
ENSG00000067840
ENSG00000068305
ENSG00000068697
ENSG00000068831
ENSG00000069188
ENSG00000069275
ENSG00000069329
ENSG00000069812
ENSG00000070731
ENSG00000071189
ENSG00000071553
ENSG00000072803
ENSG00000073536
ENSG00000073584
ENSG00000073614
ENSG00000073803
ENSG00000074054
ENSG00000075292
ENSG00000075568
ENSG00000075711
ENSG00000075785
ENSG00000076321
ENSG00000076944
ENSG00000077254
ENSG00000077809
ENSG00000078043
ENSG00000078140
ENSG00000078403
ENSG00000078747
ENSG00000079337
ENSG00000079950
ENSG00000080503
ENSG00000080802
ENSG00000081154
ENSG00000081760
ENSG00000082258
ENSG00000082701
ENSG00000083520
ENSG00000083535
ENSG00000083544
ENSG00000083642
ENSG00000083844
ENSG00000083896
ENSG00000084093
ENSG00000084463
ENSG00000084636
ENSG00000084676
ENSG00000085719
ENSG00000085760
ENSG00000085832
ENSG00000086102
ENSG00000086504
ENSG00000086712
ENSG00000086758
ENSG00000088205
ENSG00000089048
ENSG00000089157
ENSG00000089234
ENSG00000090054
ENSG00000090060
ENSG00000090061
ENSG00000090686
ENSG00000090863
ENSG00000090920
